event_id,fire_start_date,fire_end_date,fire_duration_days,fire_latitude,fire_longitude,fire_max_frp,fire_avg_frp,fire_total_frp,confidence,station_id,station_name,station_distance_km,avg_temp_30d,max_temp_30d,avg_max_temp_30d,total_precip_30d,days_without_rain,avg_wind_speed,max_wind_speed,avg_dewpoint,temp_precip_ratio
0,2011-01-17,2011-01-17,1,32.6209,-114.6235,19.7,19.7,19.7,76,74003503145,"YUMA MCAS, AZ US",3.317876897490487,54.8375,79.0,66.625,0.0,16,6.36875,17.1,24.00625,548.375
1,2011-01-10,2011-01-27,18,32.6843,-115.6711,436.8,131.4,1051.2,95,72281023199,"EL CENTRO NAF, CA US",16.46033106049234,48.93333333333333,71.1,63.900000000000006,0.0,9,3.6666666666666665,13.0,27.188888888888886,489.33333333333326
2,2011-01-13,2011-01-13,1,32.6997,-114.309,18.5,12.166666666666666,36.5,78,99999953154,"YUMA 27 ENE, AZ US",20.11840934194329,48.775000000000006,67.3,61.974999999999994,0.01,11,,,9999.899999999998,443.40909090909093
3,2011-01-08,2011-01-31,24,32.7021,-115.416,101.1,61.24,306.2,86,74718503144,"IMPERIAL CO AIRPORT, CA US",23.109966802858263,47.214285714285715,70.0,61.15714285714286,0.0,7,2.5428571428571423,8.0,26.97142857142857,472.1428571428571
4,2011-01-08,2011-01-27,20,32.9308,-115.3968,87.5,40.92,204.6,97,74718503144,"IMPERIAL CO AIRPORT, CA US",22.6288693448701,47.214285714285715,70.0,61.15714285714286,0.0,7,2.5428571428571423,8.0,26.97142857142857,472.1428571428571
5,2011-01-17,2011-01-27,11,32.8819,-115.6788,88.2,37.6,188.0,84,72281023199,"EL CENTRO NAF, CA US",5.741137403075882,51.7875,81.0,68.125,0.0,16,3.9625000000000004,13.0,27.387500000000003,517.875
6,2011-01-27,2011-01-27,1,33.0196,-115.6037,349.8,184.78333333333333,1108.7,95,74718503144,"IMPERIAL CO AIRPORT, CA US",20.750404602445393,54.676923076923075,87.1,71.4923076923077,0.0,26,3.2346153846153842,19.0,29.97692307692308,546.7692307692307
7,2011-01-08,2011-01-10,3,33.0948,-115.5266,210.9,112.4,562.0,87,74718503144,"IMPERIAL CO AIRPORT, CA US",29.40541205851726,47.214285714285715,70.0,61.15714285714286,0.0,7,2.5428571428571423,8.0,26.97142857142857,472.1428571428571
8,2011-01-27,2011-01-27,1,33.2932,-116.3465,38.8,24.95,49.9,90,74718703104,"DESERT RESORTS REGIONAL AIRPORT, CA US",42.67623569571269,53.46153846153847,84.9,71.14615384615385,0.0,26,3.2115384615384617,14.0,30.869230769230775,534.6153846153846
9,2011-01-13,2011-01-13,1,33.4526,-116.1083,14.9,14.9,14.9,70,74718703104,"DESERT RESORTS REGIONAL AIRPORT, CA US",20.81904234771607,48.67500000000001,69.1,63.49166666666667,0.0,12,2.875,13.0,30.474999999999994,486.7500000000001
10,2011-01-24,2011-01-24,1,33.4856,-114.7188,57.5,29.075,116.3,91,74718823158,"BLYTHE ASOS, CA US",14.788428689137731,54.07826086956523,82.9,67.94347826086957,0.0,23,5.804347826086956,31.1,24.821739130434782,540.7826086956522
11,2011-01-27,2011-01-31,5,33.5724,-116.0111,9.7,6.8,27.2,64,74718703104,"DESERT RESORTS REGIONAL AIRPORT, CA US",18.214443187426415,53.46153846153847,84.9,71.14615384615385,0.0,26,3.2115384615384617,14.0,30.869230769230775,534.6153846153846
12,2011-01-17,2011-01-17,1,33.5951,-114.7539,14.2,14.2,14.2,73,74718823158,"BLYTHE ASOS, CA US",5.100407967182351,50.98125,77.0,63.85000000000001,0.0,16,5.481249999999999,22.0,24.45625,509.8125
13,2011-01-28,2011-01-28,1,33.6509,-114.5581,12.4,11.05,22.1,69,74718823158,"BLYTHE ASOS, CA US",17.72425939585996,54.8111111111111,82.9,68.76296296296297,0.0,27,5.992592592592593,31.1,23.92222222222222,548.111111111111
14,2011-01-10,2011-01-10,1,34.0919,-117.5317,4.6,4.6,4.6,53,74704003102,"ONTARIO INTERNATIONAL AIRPORT, CA US",6.608438579400512,48.455555555555556,71.1,59.6888888888889,0.51,7,2.2777777777777777,9.9,34.422222222222224,79.43533697632058
15,2011-01-28,2011-01-28,1,34.5322,-117.9645,6.9,6.9,6.9,51,72382023182,"PALMDALE AIRPORT, CA US",17.022929637100987,43.32222222222222,75.9,58.91111111111112,0.19,25,4.366666666666667,21.0,29.377777777777776,149.3869731800766
16,2011-01-06,2011-01-06,1,34.6033,-118.3848,12.8,12.8,12.8,54,72381603159,"LANCASTER, CA US",24.4928563100068,33.279999999999994,48.0,42.7,0.36,3,2.3400000000000003,8.0,26.080000000000002,72.34782608695652
17,2011-01-07,2011-01-07,1,35.0752,-120.579,6.7,6.7,6.7,61,72289793206,"SAN LUIS OBISPO MCCHESNEY FIELD, CA US",19.47583684102134,47.15,66.9,59.26666666666667,2.13,4,2.9999999999999996,19.0,40.63333333333333,21.143497757847534
18,2011-01-25,2011-01-25,1,35.3562,-118.9834,4.4,4.4,4.4,55,72384023155,"BAKERSFIELD AIRPORT, CA US",11.773970032711702,46.275000000000006,64.0,55.99166666666667,0.16,22,3.0666666666666664,20.0,39.59583333333333,177.98076923076925
19,2011-01-30,2011-01-30,1,35.5996,-119.2462,11.9,11.9,11.9,65,72384023155,"BAKERSFIELD AIRPORT, CA US",28.0392352327095,46.265517241379314,64.0,56.717241379310344,0.16,27,2.9758620689655175,20.0,40.172413793103445,177.94429708222813
20,2011-01-22,2011-01-22,1,35.6529,-120.7465,7.3,7.3,7.3,64,72396593209,"PASO ROBLES MUNICIPAL AIRPORT, CA US",13.150063703038695,46.44761904761904,73.0,61.80952380952381,1.9899999999999998,19,4.266666666666667,21.0,37.33809523809524,22.22374117110959
21,2011-01-25,2011-01-25,1,36.3166,-115.6297,21.1,21.1,21.1,71,72067599999,"INDIAN SPRINGS RANGE 63, NV US",24.596871176025818,46.066666666666656,66.2,52.76,99.99,14,4.393333333333334,12.0,25.459999999999997,0.4602524394711426
22,2011-01-25,2011-01-25,1,36.413,-116.3485,51.7,37.05,74.1,82,72387003160,"DESERT ROCK AIRPORT, NV US",42.40523253385189,42.0,75.9,56.625,0.13,22,5.995833333333334,26.0,22.541666666666668,182.6086956521739
23,2011-01-20,2011-01-20,1,36.5201,-119.9658,11.1,11.1,11.1,60,74702023110,"LEMOORE REEVES NAS, CA US",20.8055200079429,44.599999999999994,60.1,51.4421052631579,1.07,12,3.1631578947368424,14.0,40.821052631578944,38.11965811965811
24,2011-01-25,2011-01-25,1,36.5754,-121.4803,10.1,10.0,30.0,73,72593023233,"SALINAS AIRPORT, CA US",17.339100625776055,51.09166666666666,75.9,64.66250000000001,1.25,18,6.054166666666667,28.0,42.2125,37.84567901234567
25,2011-01-20,2011-01-20,1,36.6846,-120.1396,19.5,19.5,19.5,71,74504693242,"MADERA MUNICIPAL AIRPORT, CA US",33.50408983119649,44.44210526315789,59.0,50.626315789473686,0.18,16,2.615789473684211,14.0,40.09473684210527,158.72180451127818
26,2011-01-22,2011-01-22,1,38.6055,-119.5976,80.0,59.65,119.3,80,72065200433,"BRIDGEPORT SONORA JUNCTION, CA US",29.068015721751497,27.642857142857142,71.1,49.171428571428564,0.91,17,1.4904761904761905,16.9,14.142857142857142,27.36916548797737
27,2011-01-27,2011-01-28,2,38.7146,-120.5027,105.6,45.3,135.9,91,72064500227,"PLACERVILLE AIRPORT, CA US",27.451592650517995,47.39615384615384,66.2,54.91538461538461,0.0,26,3.1653846153846152,22.0,32.87692307692308,473.96153846153834
28,2011-01-25,2011-01-25,1,39.4094,-122.2453,33.0,26.7,53.4,87,72497393203,"CHICO ARMY FLYING SCHOOL, CA US",61.68549241474895,41.0375,9999.9,875.4083333333334,499.94999999999993,19,3.0499999999999994,18.1,452.66666666666674,0.08206679332066795
30,2011-01-25,2011-01-25,1,39.512,-121.4419,6.1,6.1,6.1,51,74504893210,"OROVILLE MUNICIPAL AIRPORT, CA US",20.11613393501765,44.625,72.0,53.85,1.34,13,2.6875,14.0,40.32916666666667,30.98958333333333
